pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,id
-0.04,-0.001,-0.19,0,0,0,0
-0.04,-0.001,-0.187,0,0,0,1
-0.04,-0.001,-0.184,0,0,0,2
-0.04,-0.001,-0.181,0,0,0,3
-0.04,-0.001,-0.178,0,0,0,4
-0.04,-0.001,-0.175,0,0,0,5
-0.04,-0.001,-0.172,0,0,0,6
-0.04,-0.001,-0.169,0,0,0,7
-0.04,-0.001,-0.1659999,0,0,0,8
-0.04,-0.001,-0.1629999,0,0,0,9
-0.04,-0.001,-0.1599999,0,0,0,10
-0.04,-0.001,-0.1569999,0,0,0,11
-0.04,-0.001,-0.1539999,0,0,0,12
-0.04,-0.001,-0.1509999,0,0,0,13
-0.04,-0.001,-0.1479999,0,0,0,14
-0.04,-0.001,-0.1449999,0,0,0,15
-0.04,-0.001,-0.1419999,0,0,0,16
-0.04,-0.001,-0.1389999,0,0,0,17
-0.04,-0.001,-0.1359999,0,0,0,18
-0.04,-0.001,-0.1329999,0,0,0,19
-0.04,-0.001,-0.1299999,0,0,0,20
-0.04,-0.001,-0.1269999,0,0,0,21
-0.04,-0.001,-0.1239999,0,0,0,22
-0.04,-0.001,-0.1209999,0,0,0,23
-0.04,-0.001,-0.1179999,0,0,0,24
-0.04,-0.001,-0.1149999,0,0,0,25
-0.04,-0.001,-0.1119999,0,0,0,26
-0.04,-0.001,-0.1089999,0,0,0,27
-0.04,-0.001,-0.1059999,0,0,0,28
-0.04,-0.001,-0.1029999,0,0,0,29
-0.04,-0.001,-0.09999988,0,0,0,30
-0.04,-0.001,-0.09699988,0,0,0,31
-0.04,-0.001,-0.09399989,0,0,0,32
-0.04,-0.001,-0.09099989,0,0,0,33
-0.04,-0.001,-0.08799989,0,0,0,34
-0.04,-0.001,-0.08499989,0,0,0,35
-0.04,-0.001,-0.08199989,0,0,0,36
-0.04,-0.001,-0.07899989,0,0,0,37
-0.04,-0.001,-0.07599989,0,0,0,38
-0.04,-0.001,-0.07299989,0,0,0,39
-0.04,-0.001,-0.0699999,0,0,0,40
-0.04,-0.001,-0.0669999,0,0,0,41
-0.04,-0.001,-0.0639999,0,0,0,42
-0.04,-0.001,-0.0609999,0,0,0,43
-0.04,-0.001,-0.0579999,0,0,0,44
-0.04,-0.001,-0.0549999,0,0,0,45
-0.04,-0.001,-0.0519999,0,0,0,46
-0.04,-0.001,-0.04899991,0,0,0,47
-0.04,-0.001,-0.04599991,0,0,0,48
-0.04,-0.001,-0.04299991,0,0,0,49
-0.04,-0.001,-0.03999991,0,0,0,50
-0.04,-0.001,-0.03699991,0,0,0,51
-0.04,-0.001,-0.03399991,0,0,0,52
-0.04,-0.001,-0.03099991,0,0,0,53
-0.04,-0.001,-0.02799991,0,0,0,54
-0.04,-0.001,-0.02499991,0,0,0,55
-0.04,-0.001,-0.02199991,0,0,0,56
-0.04,-0.001,-0.01899991,0,0,0,57
-0.04,-0.001,-0.01599991,0,0,0,58
-0.04,-0.001,-0.01299991,0,0,0,59
-0.04,-0.001,-0.009999909,0,0,0,60
-0.04,-0.001,-0.006999908,0,0,0,61
-0.04,-0.001,-0.003999908,0,0,0,62
-0.04,-0.001,-0.0009999084,0,0,0,63
-0.031,-0.001,-0.19,0,0,0,64
-0.031,-0.001,-0.187,0,0,0,65
-0.031,-0.001,-0.184,0,0,0,66
-0.031,-0.001,-0.181,0,0,0,67
-0.031,-0.001,-0.178,0,0,0,68
-0.031,-0.001,-0.175,0,0,0,69
-0.031,-0.001,-0.172,0,0,0,70
-0.031,-0.001,-0.169,0,0,0,71
-0.031,-0.001,-0.1659999,0,0,0,72
-0.031,-0.001,-0.1629999,0,0,0,73
-0.031,-0.001,-0.1599999,0,0,0,74
-0.031,-0.001,-0.1569999,0,0,0,75
-0.031,-0.001,-0.1539999,0,0,0,76
-0.031,-0.001,-0.1509999,0,0,0,77
-0.031,-0.001,-0.1479999,0,0,0,78
-0.031,-0.001,-0.1449999,0,0,0,79
-0.031,-0.001,-0.1419999,0,0,0,80
-0.031,-0.001,-0.1389999,0,0,0,81
-0.031,-0.001,-0.1359999,0,0,0,82
-0.031,-0.001,-0.1329999,0,0,0,83
-0.031,-0.001,-0.1299999,0,0,0,84
-0.031,-0.001,-0.1269999,0,0,0,85
-0.031,-0.001,-0.1239999,0,0,0,86
-0.031,-0.001,-0.1209999,0,0,0,87
-0.031,-0.001,-0.1179999,0,0,0,88
-0.031,-0.001,-0.1149999,0,0,0,89
-0.031,-0.001,-0.1119999,0,0,0,90
-0.031,-0.001,-0.1089999,0,0,0,91
-0.031,-0.001,-0.1059999,0,0,0,92
-0.031,-0.001,-0.1029999,0,0,0,93
-0.031,-0.001,-0.09999988,0,0,0,94
-0.031,-0.001,-0.09699988,0,0,0,95
-0.031,-0.001,-0.09399989,0,0,0,96
-0.031,-0.001,-0.09099989,0,0,0,97
-0.031,-0.001,-0.08799989,0,0,0,98
-0.031,-0.001,-0.08499989,0,0,0,99
-0.031,-0.001,-0.08199989,0,0,0,100
-0.031,-0.001,-0.07899989,0,0,0,101
-0.031,-0.001,-0.07599989,0,0,0,102
-0.031,-0.001,-0.07299989,0,0,0,103
-0.031,-0.001,-0.0699999,0,0,0,104
-0.031,-0.001,-0.0669999,0,0,0,105
-0.031,-0.001,-0.0639999,0,0,0,106
-0.031,-0.001,-0.0609999,0,0,0,107
-0.031,-0.001,-0.0579999,0,0,0,108
-0.031,-0.001,-0.0549999,0,0,0,109
-0.031,-0.001,-0.0519999,0,0,0,110
-0.031,-0.001,-0.04899991,0,0,0,111
-0.031,-0.001,-0.04599991,0,0,0,112
-0.031,-0.001,-0.04299991,0,0,0,113
-0.031,-0.001,-0.03999991,0,0,0,114
-0.031,-0.001,-0.03699991,0,0,0,115
-0.031,-0.001,-0.03399991,0,0,0,116
-0.031,-0.001,-0.03099991,0,0,0,117
-0.031,-0.001,-0.02799991,0,0,0,118
-0.031,-0.001,-0.02499991,0,0,0,119
-0.031,-0.001,-0.02199991,0,0,0,120
-0.031,-0.001,-0.01899991,0,0,0,121
-0.031,-0.001,-0.01599991,0,0,0,122
-0.031,-0.001,-0.01299991,0,0,0,123
-0.031,-0.001,-0.009999909,0,0,0,124
-0.031,-0.001,-0.006999908,0,0,0,125
-0.031,-0.001,-0.003999908,0,0,0,126
-0.031,-0.001,-0.0009999084,0,0,0,127
-0.022,-0.001,-0.19,0,0,0,128
-0.022,-0.001,-0.187,0,0,0,129
-0.022,-0.001,-0.184,0,0,0,130
-0.022,-0.001,-0.181,0,0,0,131
-0.022,-0.001,-0.178,0,0,0,132
-0.022,-0.001,-0.175,0,0,0,133
-0.022,-0.001,-0.172,0,0,0,134
-0.022,-0.001,-0.169,0,0,0,135
-0.022,-0.001,-0.1659999,0,0,0,136
-0.022,-0.001,-0.1629999,0,0,0,137
-0.022,-0.001,-0.1599999,0,0,0,138
-0.022,-0.001,-0.1569999,0,0,0,139
-0.022,-0.001,-0.1539999,0,0,0,140
-0.022,-0.001,-0.1509999,0,0,0,141
-0.022,-0.001,-0.1479999,0,0,0,142
-0.022,-0.001,-0.1449999,0,0,0,143
-0.022,-0.001,-0.1419999,0,0,0,144
-0.022,-0.001,-0.1389999,0,0,0,145
-0.022,-0.001,-0.1359999,0,0,0,146
-0.022,-0.001,-0.1329999,0,0,0,147
-0.022,-0.001,-0.1299999,0,0,0,148
-0.022,-0.001,-0.1269999,0,0,0,149
-0.022,-0.001,-0.1239999,0,0,0,150
-0.022,-0.001,-0.1209999,0,0,0,151
-0.022,-0.001,-0.1179999,0,0,0,152
-0.022,-0.001,-0.1149999,0,0,0,153
-0.022,-0.001,-0.1119999,0,0,0,154
-0.022,-0.001,-0.1089999,0,0,0,155
-0.022,-0.001,-0.1059999,0,0,0,156
